,Phase,Model,Estimated ATE,n_covariates,elapsed_time
0,Test,BICauseTree(Marginal),0.005994968836872977,2,1.148483661810557
1,Train,BICauseTree(Marginal),0.019833747525260487,2,1.148483661810557
2,Test,BICauseTree(Marginal),0.012564378864356934,2,1.148483661810557
3,Train,BICauseTree(Marginal),0.011378757656829414,2,1.148483661810557
4,Test,BICauseTree(Marginal),0.00507891110840708,2,1.148483661810557
5,Train,BICauseTree(Marginal),0.019530184945085932,2,1.148483661810557
6,Test,BICauseTree(Marginal),0.01385533735073674,2,1.148483661810557
7,Train,BICauseTree(Marginal),0.009143061842202344,2,1.148483661810557
8,Test,BICauseTree(Marginal),0.01234808747326585,2,1.148483661810557
9,Train,BICauseTree(Marginal),0.012489143297719385,2,1.148483661810557
10,Test,BICauseTree(Marginal),0.010675200433975074,2,1.148483661810557
11,Train,BICauseTree(Marginal),0.014338024807979327,2,1.148483661810557
12,Test,BICauseTree(Marginal),0.00031371335286281554,2,1.148483661810557
13,Train,BICauseTree(Marginal),0.023632840852822162,2,1.148483661810557
14,Test,BICauseTree(Marginal),0.026680085417004035,2,1.148483661810557
15,Train,BICauseTree(Marginal),0.0007373991602082353,2,1.148483661810557
16,Test,BICauseTree(Marginal),0.014205423872249656,2,1.148483661810557
17,Train,BICauseTree(Marginal),0.011242495681224679,2,1.148483661810557
18,Test,BICauseTree(Marginal),0.009004948504209326,2,1.148483661810557
19,Train,BICauseTree(Marginal),0.017789952889164545,2,1.148483661810557
20,Test,BICauseTree(Marginal),0.005994968836872977,10,1.460082228978475
21,Train,BICauseTree(Marginal),0.019833747525260487,10,1.460082228978475
22,Test,BICauseTree(Marginal),0.012499073160951224,10,1.460082228978475
23,Train,BICauseTree(Marginal),0.010837237468540928,10,1.460082228978475
24,Test,BICauseTree(Marginal),0.00507891110840708,10,1.460082228978475
25,Train,BICauseTree(Marginal),0.019530184945085932,10,1.460082228978475
26,Test,BICauseTree(Marginal),0.01385533735073674,10,1.460082228978475
27,Train,BICauseTree(Marginal),0.009143061842202344,10,1.460082228978475
28,Test,BICauseTree(Marginal),0.01638664101085721,10,1.460082228978475
