,model,bootstrap,covariate,weighted
0,BICauseTree(Marginal),0,eclamp,0.0541458135948395
1,BICauseTree(Marginal),0,gestatcat1,0.0007213514621377615
2,BICauseTree(Marginal),0,gestatcat2,0.008733617862768309
3,BICauseTree(Marginal),0,gestatcat3,0.006340294500376258
4,BICauseTree(Marginal),0,gestatcat4,0.03189305148051123
5,BICauseTree(Marginal),0,gestatcat5,0.009986375103125748
6,BICauseTree(Marginal),0,gestatcat6,0.04850579397044514
7,BICauseTree(Marginal),0,gestatcat7,0.03848036998956436
8,BICauseTree(Marginal),0,gestatcat8,0.03750578839305466
9,BICauseTree(Marginal),0,gestatcat9,0.033551664912792156
10,BICauseTree(Marginal),0,gestatcat10,0.022475957271554527
11,BICauseTree(Marginal),0,gestatcat1.1,0.002500219010793684
12,BICauseTree(Marginal),0,gestatcat2.1,0.03354750174310575
13,BICauseTree(Marginal),0,gestatcat3.1,0.0018772000493453252
14,BICauseTree(Marginal),0,bord,0.044364132994118864
15,BICauseTree(Marginal),0,gestatcat4.1,0.03589113946314377
16,BICauseTree(Marginal),0,gestatcat6.1,0.020034674026324813
17,BICauseTree(Marginal),0,gestatcat7.1,0.007922455548486494
18,BICauseTree(Marginal),0,gestatcat8.1,0.00296426318815067
19,BICauseTree(Marginal),0,gestatcat9.1,0.005299541881035691
20,BICauseTree(Marginal),0,gestatcat10.1,0.018300997990933064
21,BICauseTree(Marginal),0,gestatcat1.2,0.02316156218854388
22,BICauseTree(Marginal),0,gestatcat2.2,0.06197492950025334
23,BICauseTree(Marginal),0,gestatcat3.2,0.0026246669734873115
24,BICauseTree(Marginal),0,gestatcat4.2,0.0471970554699003
25,BICauseTree(Marginal),0,gestatcat5.1,0.008309460731296797
26,BICauseTree(Marginal),0,gestatcat6.2,0.031823094907104686
27,BICauseTree(Marginal),0,gestatcat7.2,0.062399912987049395
28,BICauseTree(Marginal),0,gestatcat8.2,0.005288239290096027
29,BICauseTree(Marginal),0,gestatcat5.2,0.006483874980047398
30,BICauseTree(Marginal),0,gestatcat9.2,0.00908489353205734
31,BICauseTree(Marginal),0,gestatcat10.2,0.02121643901055118
32,BICauseTree(Marginal),0,othermr,0.012357059194978395
33,BICauseTree(Marginal),0,dmar,0.016662871525746584
34,BICauseTree(Marginal),0,csex,0.052002582287892944
35,BICauseTree(Marginal),0,cardiac,0.025737073132543344
36,BICauseTree(Marginal),0,uterine,0.03731193882762909
37,BICauseTree(Marginal),0,lung,0.02120356609491093
38,BICauseTree(Marginal),0,diabetes,0.01172085741648305
39,BICauseTree(Marginal),0,herpes,0.013549805344364637
40,BICauseTree(Marginal),0,anemia,0.07023489427585443
41,BICauseTree(Marginal),0,hydra,0.024392914119817418
42,BICauseTree(Marginal),0,chyper,0.011172429064903053
43,BICauseTree(Marginal),0,phyper,0.06657645187661068
44,BICauseTree(Marginal),0,incervix,0.0017684783474386427
45,BICauseTree(Marginal),0,pre4000,0.0022629065024364252
46,BICauseTree(Marginal),0,preterm,0.007301150421465757
47,BICauseTree(Marginal),0,renal,0.002345275802812542
48,BICauseTree(Marginal),0,rh,0.002439448380383245
49,BICauseTree(Marginal),0,hemo,0.007324853956930905
50,BICauseTree(Marginal),0,tobacco,0.02708983592568597
51,BICauseTree(Marginal),0,alcohol,0.047371774669359504
52,BICauseTree(Marginal),0,orfath,0.0213190365439941
53,BICauseTree(Marginal),0,adequacy,0.0005958908079133369
54,BICauseTree(Marginal),0,drink5,0.04817650222473017
55,BICauseTree(Marginal),0,mpre5,0.027933031946808486
56,BICauseTree(Marginal),0,meduc6,0.016991748361405712
57,BICauseTree(Marginal),0,mrace,0.06189692928190408
58,BICauseTree(Marginal),0,ormoth,0.012848343231979007
59,BICauseTree(Marginal),0,frace,0.008821401965639438
60,BICauseTree(Marginal),0,birattnd,0.0145751340187236
61,BICauseTree(Marginal),0,stoccfipb_reg,0.014315334791379322
62,BICauseTree(Marginal),0,mplbir_reg,0.04961325800075242
63,BICauseTree(Marginal),0,cigar6,0.028006689309319807
64,BICauseTree(Marginal),0,mager8,0.009309241967869674
65,BICauseTree(Marginal),0,pldel,0.03565609031350774
66,BICauseTree(Marginal),0,brstate_reg,0.019134262037074332
67,BICauseTree(Marginal),0,feduc6,0.05352359928929889
68,BICauseTree(Marginal),0,dfageq,0.01775786068022838
69,BICauseTree(Marginal),0,nprevistq,0.024309476861458325
70,BICauseTree(Marginal),0,data_year,0.010950408450457916
71,BICauseTree(Marginal),0,crace,0.06552581800239014
72,BICauseTree(Marginal),0,birmon,0.01458674333874913
73,BICauseTree(Marginal),0,dtotord_min,0.0007041021915278185
74,BICauseTree(Marginal),0,dlivord_min,0.010624411209808027
75,BICauseTree(Marginal),1,eclamp,0.01782966236936111
76,BICauseTree(Marginal),1,gestatcat1,0.01433763387594484
77,BICauseTree(Marginal),1,gestatcat2,0.039185343051746827
78,BICauseTree(Marginal),1,gestatcat3,0.021773253584895562
79,BICauseTree(Marginal),1,gestatcat4,0.015197940782186564
80,BICauseTree(Marginal),1,gestatcat5,0.03232680174047777
81,BICauseTree(Marginal),1,gestatcat6,0.05479451664508655
82,BICauseTree(Marginal),1,gestatcat7,0.0216966801177745
83,BICauseTree(Marginal),1,gestatcat8,0.06253925087887027
84,BICauseTree(Marginal),1,gestatcat9,0.001598489616993901
85,BICauseTree(Marginal),1,gestatcat10,0.014148245766502893
86,BICauseTree(Marginal),1,gestatcat1.1,0.002425479500250712
87,BICauseTree(Marginal),1,gestatcat2.1,0.045670741339415566
88,BICauseTree(Marginal),1,gestatcat3.1,0.0027981593273285303
89,BICauseTree(Marginal),1,bord,0.0
90,BICauseTree(Marginal),1,gestatcat4.1,0.03071595086925344
91,BICauseTree(Marginal),1,gestatcat6.1,0.03047517719434455
92,BICauseTree(Marginal),1,gestatcat7.1,0.0158549280169101
93,BICauseTree(Marginal),1,gestatcat8.1,0.0021480728009402894
94,BICauseTree(Marginal),1,gestatcat9.1,0.003572478095154944
95,BICauseTree(Marginal),1,gestatcat10.1,0.028742030758852823
96,BICauseTree(Marginal),1,gestatcat1.2,0.016304509306745128
97,BICauseTree(Marginal),1,gestatcat2.2,0.03711375806769022
98,BICauseTree(Marginal),1,gestatcat3.2,0.014925279079859941
99,BICauseTree(Marginal),1,gestatcat4.2,0.02392687189242503
100,BICauseTree(Marginal),1,gestatcat5.1,0.004436201534353646
101,BICauseTree(Marginal),1,gestatcat6.2,0.02681173888719613
102,BICauseTree(Marginal),1,gestatcat7.2,0.06171009414718905
103,BICauseTree(Marginal),1,gestatcat8.2,0.006815651086252394
104,BICauseTree(Marginal),1,gestatcat5.2,0.008087053383191486
105,BICauseTree(Marginal),1,gestatcat9.2,0.0011334201920662646
106,BICauseTree(Marginal),1,gestatcat10.2,0.011334801615771174
107,BICauseTree(Marginal),1,othermr,0.03573325860261101
108,BICauseTree(Marginal),1,dmar,0.029372075897685024
109,BICauseTree(Marginal),1,csex,0.03016066474032866
110,BICauseTree(Marginal),1,cardiac,0.009433772326802033
111,BICauseTree(Marginal),1,uterine,0.024314688093902703
112,BICauseTree(Marginal),1,lung,0.0041009005062250855
113,BICauseTree(Marginal),1,diabetes,0.0027475508990778366
114,BICauseTree(Marginal),1,herpes,0.01212937880661911
115,BICauseTree(Marginal),1,anemia,0.028723836887677708
116,BICauseTree(Marginal),1,hydra,0.027504109671986673
117,BICauseTree(Marginal),1,chyper,0.004638513134299298
118,BICauseTree(Marginal),1,phyper,0.014779132739604127
119,BICauseTree(Marginal),1,incervix,0.02328399596143713
120,BICauseTree(Marginal),1,pre4000,0.03791215715299777
121,BICauseTree(Marginal),1,preterm,0.0243951258597106
122,BICauseTree(Marginal),1,renal,0.02740245294569327
123,BICauseTree(Marginal),1,rh,0.019220296190726884
124,BICauseTree(Marginal),1,hemo,0.0036351473425349505
125,BICauseTree(Marginal),1,tobacco,0.09008590323546847
126,BICauseTree(Marginal),1,alcohol,0.09001773881218002
127,BICauseTree(Marginal),1,orfath,0.05261368126377816
128,BICauseTree(Marginal),1,adequacy,0.0029906986917298843
129,BICauseTree(Marginal),1,drink5,0.09035392687628006
130,BICauseTree(Marginal),1,mpre5,0.014386960470602889
131,BICauseTree(Marginal),1,meduc6,0.02005763386825423
132,BICauseTree(Marginal),1,mrace,0.050647642982182925
133,BICauseTree(Marginal),1,ormoth,0.019060758628779
134,BICauseTree(Marginal),1,frace,0.035932471771744315
135,BICauseTree(Marginal),1,birattnd,0.01903697121259894
136,BICauseTree(Marginal),1,stoccfipb_reg,0.039893290379183884
137,BICauseTree(Marginal),1,mplbir_reg,0.0761027770828666
138,BICauseTree(Marginal),1,cigar6,0.09459256279950042
139,BICauseTree(Marginal),1,mager8,0.0006064938669344081
140,BICauseTree(Marginal),1,pldel,0.027628202453431325
141,BICauseTree(Marginal),1,brstate_reg,0.04172178962501453
142,BICauseTree(Marginal),1,feduc6,0.04897957223158932
143,BICauseTree(Marginal),1,dfageq,0.04032912690342847
144,BICauseTree(Marginal),1,nprevistq,0.030596910473686255
145,BICauseTree(Marginal),1,data_year,0.01556134888682757
146,BICauseTree(Marginal),1,crace,0.05201028888065246
147,BICauseTree(Marginal),1,birmon,0.015582729085000526
148,BICauseTree(Marginal),1,dtotord_min,0.009268579594785565
149,BICauseTree(Marginal),1,dlivord_min,0.022869518139555192
150,BICauseTree(Marginal),2,eclamp,0.029706862167470392
151,BICauseTree(Marginal),2,gestatcat1,0.016262772272973264
152,BICauseTree(Marginal),2,gestatcat2,0.0
153,BICauseTree(Marginal),2,gestatcat3,0.015947230519104644
154,BICauseTree(Marginal),2,gestatcat4,0.011100989312126932
155,BICauseTree(Marginal),2,gestatcat5,0.025253174171396227
156,BICauseTree(Marginal),2,gestatcat6,0.04896717175703054
157,BICauseTree(Marginal),2,gestatcat7,0.026433381869952092
158,BICauseTree(Marginal),2,gestatcat8,0.018095429018597963
159,BICauseTree(Marginal),2,gestatcat9,0.016331510971094438
160,BICauseTree(Marginal),2,gestatcat10,0.043771883959568055
161,BICauseTree(Marginal),2,gestatcat1.1,0.014323733262344731
162,BICauseTree(Marginal),2,gestatcat2.1,0.03853357264214368
163,BICauseTree(Marginal),2,gestatcat3.1,0.0061172773844872805
164,BICauseTree(Marginal),2,bord,0.008219951643350543
165,BICauseTree(Marginal),2,gestatcat4.1,0.04519358809302594
166,BICauseTree(Marginal),2,gestatcat6.1,0.0037327215365335004
167,BICauseTree(Marginal),2,gestatcat7.1,0.028824459680715755
168,BICauseTree(Marginal),2,gestatcat8.1,0.012372455587953487
169,BICauseTree(Marginal),2,gestatcat9.1,0.023756782465463568
170,BICauseTree(Marginal),2,gestatcat10.1,0.02308984482865115
171,BICauseTree(Marginal),2,gestatcat1.2,0.06620847315416874
172,BICauseTree(Marginal),2,gestatcat2.2,0.019562042489501427
173,BICauseTree(Marginal),2,gestatcat3.2,0.04714980530469418
174,BICauseTree(Marginal),2,gestatcat4.2,0.021923586901953198
175,BICauseTree(Marginal),2,gestatcat5.1,0.010969204876952634
176,BICauseTree(Marginal),2,gestatcat6.2,0.03893206663404936
177,BICauseTree(Marginal),2,gestatcat7.2,0.04228794580196604
178,BICauseTree(Marginal),2,gestatcat8.2,0.00027709969290873554
179,BICauseTree(Marginal),2,gestatcat5.2,0.0019333826337241545
180,BICauseTree(Marginal),2,gestatcat9.2,0.0023532803572522466
181,BICauseTree(Marginal),2,gestatcat10.2,0.017594047298421022
182,BICauseTree(Marginal),2,othermr,0.0335517368039067
183,BICauseTree(Marginal),2,dmar,0.02611414005833279
184,BICauseTree(Marginal),2,csex,0.05313983813445852
185,BICauseTree(Marginal),2,cardiac,0.0024837815004575365
186,BICauseTree(Marginal),2,uterine,0.007929994359574163
187,BICauseTree(Marginal),2,lung,0.021830837240902026
188,BICauseTree(Marginal),2,diabetes,0.021733445280953254
189,BICauseTree(Marginal),2,herpes,0.03445014335610904
190,BICauseTree(Marginal),2,anemia,0.03138225399359105
191,BICauseTree(Marginal),2,hydra,0.03468386152497989
192,BICauseTree(Marginal),2,chyper,0.006860013819021935
193,BICauseTree(Marginal),2,phyper,0.014322643906428493
194,BICauseTree(Marginal),2,incervix,0.03145702485273651
195,BICauseTree(Marginal),2,pre4000,0.017239134557725813
196,BICauseTree(Marginal),2,preterm,0.0017469436715108339
197,BICauseTree(Marginal),2,renal,0.03711139908061011
198,BICauseTree(Marginal),2,rh,0.011868179358474937
199,BICauseTree(Marginal),2,hemo,0.02909697866808276
200,BICauseTree(Marginal),2,tobacco,0.06793755495324436
201,BICauseTree(Marginal),2,alcohol,0.08373058944462454
202,BICauseTree(Marginal),2,orfath,0.05520603011519753
203,BICauseTree(Marginal),2,adequacy,0.031376755374773364
204,BICauseTree(Marginal),2,drink5,0.08033602946514867
205,BICauseTree(Marginal),2,mpre5,0.0032051114244218315
206,BICauseTree(Marginal),2,meduc6,0.03482565208112439
207,BICauseTree(Marginal),2,mrace,0.06184130899348239
208,BICauseTree(Marginal),2,ormoth,0.019803497159477178
209,BICauseTree(Marginal),2,frace,0.033048595636743026
210,BICauseTree(Marginal),2,birattnd,0.020460028433238124
211,BICauseTree(Marginal),2,stoccfipb_reg,0.047915264091244206
212,BICauseTree(Marginal),2,mplbir_reg,0.08327159627905835
213,BICauseTree(Marginal),2,cigar6,0.07446312585910753
214,BICauseTree(Marginal),2,mager8,0.03452695999719767
215,BICauseTree(Marginal),2,pldel,0.04488087389141845
216,BICauseTree(Marginal),2,brstate_reg,0.04654544169275592
217,BICauseTree(Marginal),2,feduc6,0.0559242259618461
218,BICauseTree(Marginal),2,dfageq,0.03127728154213314
219,BICauseTree(Marginal),2,nprevistq,0.04072425304868733
220,BICauseTree(Marginal),2,data_year,0.017767269988161836
221,BICauseTree(Marginal),2,crace,0.0577601299430688
222,BICauseTree(Marginal),2,birmon,0.00932362905205789
223,BICauseTree(Marginal),2,dtotord_min,0.0008270363558591007
224,BICauseTree(Marginal),2,dlivord_min,0.011840678117847015
225,BICauseTree(Marginal),3,eclamp,0.008218673647353882
226,BICauseTree(Marginal),3,gestatcat1,0.012598274126999442
227,BICauseTree(Marginal),3,gestatcat2,0.01228621660940254
228,BICauseTree(Marginal),3,gestatcat3,0.019349856297737875
229,BICauseTree(Marginal),3,gestatcat4,0.010455751864273244
230,BICauseTree(Marginal),3,gestatcat5,0.03479887105270639
231,BICauseTree(Marginal),3,gestatcat6,0.04393548093886298
232,BICauseTree(Marginal),3,gestatcat7,0.0020908719066422914
233,BICauseTree(Marginal),3,gestatcat8,0.03206361961859737
234,BICauseTree(Marginal),3,gestatcat9,0.023570794164523613
235,BICauseTree(Marginal),3,gestatcat10,0.015793345596077885
236,BICauseTree(Marginal),3,gestatcat1.1,0.005779303476037368
237,BICauseTree(Marginal),3,gestatcat2.1,0.04918354233770753
238,BICauseTree(Marginal),3,gestatcat3.1,0.024926465267299035
239,BICauseTree(Marginal),3,bord,0.04641088479762518
240,BICauseTree(Marginal),3,gestatcat4.1,0.041948497470463274
241,BICauseTree(Marginal),3,gestatcat6.1,0.017667032393260767
242,BICauseTree(Marginal),3,gestatcat7.1,0.013886754270411477
243,BICauseTree(Marginal),3,gestatcat8.1,0.002784932812028601
244,BICauseTree(Marginal),3,gestatcat9.1,0.02567646967401509
245,BICauseTree(Marginal),3,gestatcat10.1,0.025382171768933443
246,BICauseTree(Marginal),3,gestatcat1.2,0.036487321295410644
247,BICauseTree(Marginal),3,gestatcat2.2,7.948166910112673e-17
248,BICauseTree(Marginal),3,gestatcat3.2,0.036727874488529676
249,BICauseTree(Marginal),3,gestatcat4.2,0.021252776894488443
250,BICauseTree(Marginal),3,gestatcat5.1,0.04978262179970393
251,BICauseTree(Marginal),3,gestatcat6.2,0.009519389818706946
252,BICauseTree(Marginal),3,gestatcat7.2,0.0699507422886114
253,BICauseTree(Marginal),3,gestatcat8.2,0.014776000981119192
254,BICauseTree(Marginal),3,gestatcat5.2,0.0053019704746020855
255,BICauseTree(Marginal),3,gestatcat9.2,0.033593061318115604
256,BICauseTree(Marginal),3,gestatcat10.2,0.008390383820910402
257,BICauseTree(Marginal),3,othermr,0.02579067406708994
258,BICauseTree(Marginal),3,dmar,0.007440309990241563
259,BICauseTree(Marginal),3,csex,0.037661507573119195
260,BICauseTree(Marginal),3,cardiac,0.010023021765615646
261,BICauseTree(Marginal),3,uterine,0.026789827364237104
262,BICauseTree(Marginal),3,lung,0.0022159908816039037
263,BICauseTree(Marginal),3,diabetes,0.004677726103202133
264,BICauseTree(Marginal),3,herpes,0.022024106327471784
265,BICauseTree(Marginal),3,anemia,0.03765775386543271
266,BICauseTree(Marginal),3,hydra,0.02577906846988832
267,BICauseTree(Marginal),3,chyper,0.0010327075796369243
268,BICauseTree(Marginal),3,phyper,0.0075047172326961195
269,BICauseTree(Marginal),3,incervix,0.01067646421641753
270,BICauseTree(Marginal),3,pre4000,0.014666193622861071
271,BICauseTree(Marginal),3,preterm,0.010667549100585079
272,BICauseTree(Marginal),3,renal,0.02117097366891835
273,BICauseTree(Marginal),3,rh,3.6702208562584414e-05
274,BICauseTree(Marginal),3,hemo,0.03267830693337065
275,BICauseTree(Marginal),3,tobacco,0.01320345425030116
276,BICauseTree(Marginal),3,alcohol,0.012726293830599091
277,BICauseTree(Marginal),3,orfath,0.0028221940045095617
278,BICauseTree(Marginal),3,adequacy,0.0230070605381753
279,BICauseTree(Marginal),3,drink5,0.010091111806647983
280,BICauseTree(Marginal),3,mpre5,0.0433870937722412
281,BICauseTree(Marginal),3,meduc6,0.020978712707424886
282,BICauseTree(Marginal),3,mrace,0.021038085911993125
283,BICauseTree(Marginal),3,ormoth,0.00467317719586937
284,BICauseTree(Marginal),3,frace,0.010552240731784903
285,BICauseTree(Marginal),3,birattnd,0.01971209039801879
286,BICauseTree(Marginal),3,stoccfipb_reg,0.02115372881394806
287,BICauseTree(Marginal),3,mplbir_reg,0.03409505731819108
288,BICauseTree(Marginal),3,cigar6,0.015567864122505123
289,BICauseTree(Marginal),3,mager8,0.007516669862279192
290,BICauseTree(Marginal),3,pldel,0.02681720724384646
291,BICauseTree(Marginal),3,brstate_reg,0.020397007327904917
292,BICauseTree(Marginal),3,feduc6,0.043037653617988156
293,BICauseTree(Marginal),3,dfageq,0.019169063252793602
294,BICauseTree(Marginal),3,nprevistq,0.04708778973963824
295,BICauseTree(Marginal),3,data_year,0.011977451183551122
296,BICauseTree(Marginal),3,crace,0.015108824125181252
297,BICauseTree(Marginal),3,birmon,0.0023307378765157452
298,BICauseTree(Marginal),3,dtotord_min,0.007763853662826804
299,BICauseTree(Marginal),3,dlivord_min,0.018597287695945347
300,BICauseTree(Marginal),4,eclamp,0.018341930014826896
301,BICauseTree(Marginal),4,gestatcat1,0.04027773500179236
302,BICauseTree(Marginal),4,gestatcat2,0.0
303,BICauseTree(Marginal),4,gestatcat3,0.019348474302823104
304,BICauseTree(Marginal),4,gestatcat4,0.03734737962466053
305,BICauseTree(Marginal),4,gestatcat5,0.020704725991995084
306,BICauseTree(Marginal),4,gestatcat6,0.07177482007462264
307,BICauseTree(Marginal),4,gestatcat7,0.03795439408277148
308,BICauseTree(Marginal),4,gestatcat8,0.040364093137953486
309,BICauseTree(Marginal),4,gestatcat9,0.02682926514550943
