,Phase,Model,Estimated ATE
0,Test,BICauseTree(Marginal),0.02230886211584676
0,Test,BICauseTreeRandomSplit(Marginal),0.03565596409608207
0,Train,BICauseTree(Marginal),0.04658329569547742
0,Train,BICauseTreeRandomSplit(Marginal),0.06537385368626736
1,Test,BICauseTree(Marginal),0.03973467109860079
1,Test,BICauseTreeRandomSplit(Marginal),0.04684646971065967
1,Train,BICauseTree(Marginal),0.04042344685242957
1,Train,BICauseTreeRandomSplit(Marginal),0.055332104132472415
2,Test,BICauseTree(Marginal),0.051471809184285955
2,Test,BICauseTreeRandomSplit(Marginal),0.06685806761437169
2,Train,BICauseTree(Marginal),0.019470183151459652
2,Train,BICauseTreeRandomSplit(Marginal),0.035331572486967666
3,Test,BICauseTree(Marginal),0.03521248911350508
3,Test,BICauseTreeRandomSplit(Marginal),0.050854784719087054
3,Train,BICauseTree(Marginal),0.03610879201842648
3,Train,BICauseTreeRandomSplit(Marginal),0.04900004690195514
4,Test,BICauseTree(Marginal),0.04067235462584007
4,Test,BICauseTreeRandomSplit(Marginal),0.05869967473641757
4,Train,BICauseTree(Marginal),0.027315166541505453
4,Train,BICauseTreeRandomSplit(Marginal),0.04348713320128855
5,Test,BICauseTree(Marginal),0.03528065933813279
5,Test,BICauseTreeRandomSplit(Marginal),0.04690354049401743
5,Train,BICauseTree(Marginal),0.030858267530469996
5,Train,BICauseTreeRandomSplit(Marginal),0.052501362571259674
6,Test,BICauseTree(Marginal),0.03788475370485356
6,Test,BICauseTreeRandomSplit(Marginal),0.04712023413822908
6,Train,BICauseTree(Marginal),0.03743994196049996
6,Train,BICauseTreeRandomSplit(Marginal),0.05505847813917822
7,Test,BICauseTree(Marginal),0.039009135815962354
7,Test,BICauseTreeRandomSplit(Marginal),0.05061296887270372
7,Train,BICauseTree(Marginal),0.03981531927523582
7,Train,BICauseTreeRandomSplit(Marginal),0.051568316266069586
8,Test,BICauseTree(Marginal),0.042073310792538426
8,Test,BICauseTreeRandomSplit(Marginal),0.0542995392451921
8,Train,BICauseTree(Marginal),0.03676864484450984
8,Train,BICauseTreeRandomSplit(Marginal),0.04788118596836291
9,Test,BICauseTree(Marginal),0.04604085683029946
9,Test,BICauseTreeRandomSplit(Marginal),0.05191333223003464
9,Train,BICauseTree(Marginal),0.03959286544110843
9,Train,BICauseTreeRandomSplit(Marginal),0.0487731964845218
10,Test,BICauseTree(Marginal),0.02601814878532399
10,Test,BICauseTreeRandomSplit(Marginal),0.03996493909878998
10,Train,BICauseTree(Marginal),0.043537224247121115
10,Train,BICauseTreeRandomSplit(Marginal),0.06231164412303605
11,Test,BICauseTree(Marginal),0.03406634861372401
11,Test,BICauseTreeRandomSplit(Marginal),0.04341761236668551
11,Train,BICauseTree(Marginal),0.036208537021441584
11,Train,BICauseTreeRandomSplit(Marginal),0.05145735092679868
12,Test,BICauseTree(Marginal),0.02932161869164515
12,Test,BICauseTreeRandomSplit(Marginal),0.04802928335704973
12,Train,BICauseTree(Marginal),0.03854619971502721
12,Train,BICauseTreeRandomSplit(Marginal),0.052755398296775696
13,Test,BICauseTree(Marginal),0.03803023741113126
13,Test,BICauseTreeRandomSplit(Marginal),0.050855979090390524
13,Train,BICauseTree(Marginal),0.03726250680738247
