S,C,T,D,y1,y0
0.0,23.538561036286062,0.0,0.0,1.0,0.0
0.0,52.329051130540954,1.0,0.0,0.0,0.0
0.0,46.95459413040188,0.0,1.0,0.0,1.0
1.0,39.75349820966459,0.0,0.0,1.0,0.0
0.0,73.69176034649048,0.0,0.0,1.0,0.0
0.0,42.50973741882715,1.0,0.0,0.0,0.0
0.0,93.61242221601006,0.0,1.0,1.0,1.0
1.0,93.85572571439482,0.0,0.0,0.0,0.0
0.0,80.3982009118357,0.0,1.0,1.0,1.0
0.0,41.746575161927396,0.0,0.0,0.0,0.0
0.0,58.191375385704035,1.0,0.0,0.0,1.0
1.0,54.23497908734637,0.0,1.0,0.0,1.0
0.0,8.138890461541301,0.0,0.0,0.0,0.0
1.0,55.71371107470617,0.0,0.0,0.0,0.0
0.0,44.06623354671865,1.0,0.0,0.0,0.0
0.0,41.994670398758515,0.0,0.0,0.0,0.0
1.0,40.464061482819716,1.0,1.0,1.0,0.0
0.0,50.754957352695754,0.0,0.0,0.0,0.0
1.0,41.32235539245069,0.0,1.0,0.0,1.0
0.0,50.779484610907794,1.0,0.0,0.0,1.0
1.0,71.11719836453312,0.0,0.0,1.0,0.0
0.0,70.96852960946632,0.0,1.0,0.0,1.0
0.0,56.72933341166862,0.0,1.0,1.0,1.0
0.0,81.52672283262903,0.0,1.0,0.0,1.0
0.0,48.21761855867872,0.0,0.0,0.0,0.0
1.0,31.62414357652876,1.0,0.0,0.0,0.0
0.0,7.277080852127767,0.0,0.0,0.0,0.0
1.0,45.76696050440645,0.0,0.0,0.0,0.0
0.0,71.85151854553332,0.0,1.0,0.0,1.0
1.0,39.06951551210258,0.0,1.0,0.0,1.0
1.0,76.69952085923067,1.0,0.0,0.0,0.0
0.0,58.30072053770864,0.0,1.0,0.0,1.0
1.0,46.330047971335944,0.0,1.0,0.0,1.0
0.0,55.87289819606577,0.0,0.0,0.0,0.0
1.0,30.846780521559726,1.0,0.0,0.0,0.0
0.0,43.72328826982308,1.0,0.0,0.0,1.0
0.0,62.19018404980048,0.0,1.0,0.0,1.0
1.0,28.026378853103836,0.0,1.0,0.0,1.0
0.0,50.90448269541574,1.0,0.0,0.0,1.0
0.0,69.23479266560608,1.0,1.0,1.0,1.0
0.0,48.8506738181956,1.0,0.0,0.0,0.0
1.0,12.213735282828935,0.0,1.0,0.0,1.0
0.0,40.57635307695364,0.0,0.0,1.0,0.0
0.0,29.544450413601492,1.0,1.0,1.0,0.0
1.0,71.51376512554825,0.0,0.0,1.0,0.0
0.0,34.02934411574793,0.0,0.0,1.0,0.0
0.0,67.53246402507745,0.0,1.0,0.0,1.0
0.0,42.4906485199876,0.0,0.0,0.0,0.0
0.0,43.513652304616826,0.0,0.0,0.0,0.0
0.0,51.61181773099635,0.0,1.0,0.0,1.0
1.0,69.5618146395158,0.0,0.0,1.0,0.0
1.0,50.644310034172484,0.0,1.0,0.0,1.0
0.0,52.8075525505194,0.0,0.0,0.0,0.0
1.0,62.00047387364469,1.0,1.0,1.0,0.0
